username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-15 09:11;4;8;"Big news for our sport fishermen! Recreational #RedSnapper fishing in Gulf's federal waters now open total 39 days! http://www. houstonchronicle.com/sports/outdoor s/article/Recreational-red-snapper-season-in-Gulf-extended-11221091.php?cmpid=twitter-premium …";;;#RedSnapper;"875355022535610369";https://twitter.com/RepBrianBabin/status/875355022535610369
;2017-06-14 14:31;41;73;"Sickened & angry by today's targeted attack. It's time for extreme & hateful rhetoric directed at our President & members of Congress to end pic.twitter.com/dRCVQjxU71";;;;"875073227336413184";https://twitter.com/RepBrianBabin/status/875073227336413184
;2017-06-14 12:39;17;37;"Happy birthday to @USArmy . We thank the brave men and women of the U.S. Army for 242 years of dedicated and selfless service to our nation. pic.twitter.com/EdN7sMeov0";;@USArmy;;"875045032146984961";https://twitter.com/RepBrianBabin/status/875045032146984961
;2017-06-14 07:50;8;23;"My prayers are w/ @SteveScalise , @CapitolPolice and staff injured at this morning's shooting. Very grateful for response from Capitol Police.";;@SteveScalise @CapitolPolice;;"874972334788050944";https://twitter.com/RepBrianBabin/status/874972334788050944
;2017-06-13 16:25;31;49;"Great news → Today, House sent @POTUS the #VAAccountability Act to fix culture at VA & ensure veterans are put first http:// freebeacon.com/issues/house-p asses-landmark-accountability-legislation/ …";;@POTUS;#VAAccountability;"874739570511941634";https://twitter.com/RepBrianBabin/status/874739570511941634
;2017-06-13 10:50;6;23;"Great to meet Brooke Burt of Buna & Reagan Dominy of Kirbyville during trip to DC for winning essay contest by Jasper-Newton Electric Co-Op. pic.twitter.com/oQ1PWvRXEi";;;;"874655168071172098";https://twitter.com/RepBrianBabin/status/874655168071172098
;2017-06-12 16:50;16;17;"Obamacare continues to fail as millions walk away—with exit surveys showing #1 reason is lack of affordable options. http:// cnb.cx/2sm7HHF";;;#1;"874383389046050818";https://twitter.com/RepBrianBabin/status/874383389046050818
;2017-06-12 11:46;6;45;"Congratulations to the Deer Park High School baseball team on winning the Class 6A state title. Way to go! #TX36 http://www. chron.com/neighborhood/d eerpark/sports/article/Amazing-Deer-Park-captures-Class-6A-state-11211370.php?cmpid=twitter-desktop …";;;#TX36;"874306996056588288";https://twitter.com/RepBrianBabin/status/874306996056588288
;2017-06-12 09:14;18;35;"It was a great week for @NASA_Johnson & America's space program. Here are a few behind-the-scenes pics from the day. https://www. facebook.com/RepBrianBabin/ posts/704932979678688 … pic.twitter.com/1ROCp415Pj";;@NASA_Johnson;;"874268621178064896";https://twitter.com/RepBrianBabin/status/874268621178064896
;2017-06-09 15:17;4;14;"Thank you for showing us around. We enjoyed it! https:// twitter.com/NASAGoddard/st atus/873254400789278720 …";;;;"873272893295165441";https://twitter.com/RepBrianBabin/status/873272893295165441
;2017-06-09 14:28;25;32;"Joining @seanhannity radio at 5pET to discuss my request for review of cases of troops imprisoned for combat actions http:// fxn.ws/2qOD5ZU";;@seanhannity;;"873260445272088576";https://twitter.com/RepBrianBabin/status/873260445272088576
;2017-06-09 12:58;6;13;"Voted for #CHOICEAct to create more accountable financial system & repeal #DoddFrank provisions that hurt job growth http:// bit.ly/2r9OKYo pic.twitter.com/ewd1nVLcTJ";;;#CHOICEAct #DoddFrank;"873238005074579462";https://twitter.com/RepBrianBabin/status/873238005074579462
;2017-06-09 09:28;4;12;"Great visit with Dr. Moriba Jah, Associate Professor of Aerospace Engineering, @UTAustin . Discussed growing problem of orbital space debris. pic.twitter.com/Jq08khsCyk";;@UTAustin;;"873185015156408322";https://twitter.com/RepBrianBabin/status/873185015156408322
;2017-06-08 14:11;28;58;"I commend @POTUS for trying to keep Americans safe. It's time we put safety and security over political correctness! https:// youtu.be/FIzlNFqGJ6g";;@POTUS;;"872893966697541633";https://twitter.com/RepBrianBabin/status/872893966697541633
;2017-06-08 12:54;10;16;"Visited w/ former astronaut & current @NASAKennedy Director @Astro_CabanaBob today. We are very optimistic for future of our space program! pic.twitter.com/ki7kUI28CX";;@NASAKennedy @Astro_CabanaBob;;"872874602241957888";https://twitter.com/RepBrianBabin/status/872874602241957888
;2017-06-08 10:31;1;8;"Glad to meet & welcome Houston resident Sandy Phan-Gillis back to US after being detained in China for 2 years. We thank God she's home safe pic.twitter.com/vujOYU0Otk";;;;"872838380970803200";https://twitter.com/RepBrianBabin/status/872838380970803200
;2017-06-08 09:07;0;5;"Proud to recognize & thank each law enforcement agency involved in investigating murder of Chief Deputy Greenwood. https://www. facebook.com/pg/RepBrianBab in/photos/?tab=album&album_id=702971456541507 … pic.twitter.com/dsgiJzkMBx";;;;"872817344699039744";https://twitter.com/RepBrianBabin/status/872817344699039744
;2017-06-07 16:54;6;18;"Thank you @VP for visiting @NASA_Johnson today. We appreciate your leadership & support for @NASA ! pic.twitter.com/qE0qiQUvJU";;@VP @NASA_Johnson @NASA;;"872572616867033088";https://twitter.com/RepBrianBabin/status/872572616867033088
;2017-06-07 16:27;19;39;"Congrats to @NASA ’s #NewAstronauts . After being selected from record number of applicants, these 12 men & women represent best & brightest. pic.twitter.com/QmeFvTm7U9";;@NASA;#NewAstronauts;"872565641206804480";https://twitter.com/RepBrianBabin/status/872565641206804480
;2017-06-07 12:36;6;18;"Excited to join @VP at @NASA_Johnson for introduction of @NASA 's #NewAstronauts . Watch live at 1pm CT: https://www. youtube.com/watch?v=9sJmUe -pCDU …";;@VP @NASA_Johnson @NASA;#NewAstronauts;"872507686935564288";https://twitter.com/RepBrianBabin/status/872507686935564288
;2017-06-07 07:44;14;45;"On #AirForceTwo w/ @SenTedCruz & @LamarSmithTX21 on way to @NASA_Johnson to celebrate #NewAstronauts . Watch at 1pmCT: http://www. wh.gov/live pic.twitter.com/aqPf3ja5A8";;@SenTedCruz @LamarSmithTX21 @NASA_Johnson;#AirForceTwo #NewAstronauts;"872434200917553152";https://twitter.com/RepBrianBabin/status/872434200917553152
;2017-06-07 06:58;4;17;"Boarding Air Force Two with @VP en route to @NASA_Johnson for 2017 @NASA Astronaut Selection Announcement! pic.twitter.com/zmWkOSVsE3";;@VP @NASA_Johnson @NASA;;"872422526076559362";https://twitter.com/RepBrianBabin/status/872422526076559362
;2017-06-06 16:18;3;7;"Participated in last week's Chambers County Hurricane Workshop. Thank you Judge Sylvia for facilitating the meeting. https://www. facebook.com/pg/RepBrianBab in/photos/?tab=album&album_id=702207736617879 … pic.twitter.com/TOAE5QQy73";;;;"872201066624028679";https://twitter.com/RepBrianBabin/status/872201066624028679
;2017-06-06 09:15;18;20;"Spoke w/ @kfdmnews about being vigilant in wake of #londonattack . FBI recently confirmed 2k on-going investigations w/300 involving refugees. pic.twitter.com/P1R6gCc8Wl";;@kfdmnews;#londonattack;"872094492022763521";https://twitter.com/RepBrianBabin/status/872094492022763521
;2017-06-06 08:26;13;34;"Today—on #DDay73 —we remember incredible bravery & immense sacrifice displayed by Allied troops who courageously stormed beaches of Normandy. pic.twitter.com/EBUpF3jlFZ";;;#DDay73;"872082303085940745";https://twitter.com/RepBrianBabin/status/872082303085940745
;2017-06-05 13:08;6;12;"Had privilege of swearing in Polk County Asst. District Attorney Tommy Coleman as Special Assistant U.S. Attorney. http:// polkenterprise.com/index.php/news /2018-local-prosecutor-named-assistant-u-s-attorney … pic.twitter.com/bGoQE4IZTz";;;;"871790873608155137";https://twitter.com/RepBrianBabin/status/871790873608155137
;2017-06-05 10:13;4;12;"Proud to recognize Woodville HS last week for being named one of best schools in nation. Congrats to Principal Wright, faculty & students. pic.twitter.com/oEkaO3d7gV";;;;"871746794488823808";https://twitter.com/RepBrianBabin/status/871746794488823808
;2017-06-04 09:40;35;79;"Another attack in #London . How many people have to die before West wakes up to dangers of politically correct immigration/refugee policies?";;;#London;"871376088978599936";https://twitter.com/RepBrianBabin/status/871376088978599936
;2017-06-02 15:40;3;10;"Always enjoy stopping by @kshnradio to answer questions & update the folks of Liberty County & #TX36 . pic.twitter.com/rTFgbdxg4B";;@kshnradio;#TX36;"870741914349441024";https://twitter.com/RepBrianBabin/status/870741914349441024
;2017-06-02 13:31;2;10;"Very exciting visit to @NASA_Johnson w/ @TXRandy14 to view @NASAWebb . Thank you JSC Director @Astro_Ellen & entire team for firsthand look! pic.twitter.com/3EUQGEQozb";;@NASA_Johnson @TXRandy14 @NASAWebb @Astro_Ellen;;"870709469692411906";https://twitter.com/RepBrianBabin/status/870709469692411906
;2017-06-02 10:58;3;7;"Pleasure speaking w/ Livingston Rotary Club. Always great to spend time w/ the good folks in Polk County. #TX36 https://www. facebook.com/pg/RepBrianBab in/photos/?tab=album&album_id=700145590157427 … pic.twitter.com/ZkE3zbPddt";;;#TX36;"870671022399393793";https://twitter.com/RepBrianBabin/status/870671022399393793
;2017-06-02 08:35;9;17;"Great to meet Woodville's Carrington Marendes & congratulate him on his 3 medals at State Track & Field Championships. Way to go! #TX36 pic.twitter.com/Z0CWBXbXIP";;;#TX36;"870635042686599168";https://twitter.com/RepBrianBabin/status/870635042686599168
;2017-06-01 15:12;1085;4083;"I applaud @POTUS for standing up for American worker & withdrawing from this bad deal that hurts U.S. competitiveness & #TX36 jobs. pic.twitter.com/36PO6zVnma";;@POTUS;#TX36;"870372589423783937";https://twitter.com/RepBrianBabin/status/870372589423783937
;2017-06-01 12:08;5;5;"#Hurricane season starts today. Please be prepared & take necessary precautions. As always, our office is here to support local communities. https:// twitter.com/KPRC2/status/8 70319970261061632 …";;;#Hurricane;"870326115788828677";https://twitter.com/RepBrianBabin/status/870326115788828677
;2017-06-01 08:47;12;23;"These young men voluntarily joined military—many out of high school—and answered call to duty. They deserve a review http:// txst.us/2sejrsp";;;;"870275684123496448";https://twitter.com/RepBrianBabin/status/870275684123496448
;2017-05-31 21:16;1;12;"It was my pleasure! https:// twitter.com/darrellarose/s tatus/870091591612071936 …";;;;"870101710945091584";https://twitter.com/RepBrianBabin/status/870101710945091584
;2017-05-31 14:22;30;68;"Honored to speak at #Orangefield HS graduation, particularly as 2 brothers graduated 75+ years after leaving school early to serve in #WWII . pic.twitter.com/AAMuli4k1V";;;#Orangefield #WWII;"869997494507327488";https://twitter.com/RepBrianBabin/status/869997494507327488
;2017-05-31 08:08;7;11;"Here are the facts Since '13 #Obamacare premiums spiked 105%, including 82% in TX. Furthermore, 1/3 of US now has only 1 insurance choice. pic.twitter.com/eFX8nCNNxg";;;#Obamacare;"869903518936817664";https://twitter.com/RepBrianBabin/status/869903518936817664
;2017-05-30 12:36;13;17;"Under Obama we saw continued release of terrorists from GITMO. Meanwhile, these young men who put their lives on the line languish in prison https:// twitter.com/RepBrianBabin/ status/869605230253572096 …";;;;"869608535667208193";https://twitter.com/RepBrianBabin/status/869608535667208193
;2017-05-30 12:32;8;13;"I've met w/ the parents & friends of those U.S. service members who are still incarcerated. They're pleading for a simple review. https:// twitter.com/RepBrianBabin/ status/869605230253572096 …";;;;"869607447996108802";https://twitter.com/RepBrianBabin/status/869607447996108802
;2017-05-30 12:23;10;21;"I'm asking @POTUS for review of cases involving US troops imprisoned for actions taken in combat in Iraq/Afghanistan https:// goo.gl/XcEJnx pic.twitter.com/abq8fwAWeg";;@POTUS;;"869605230253572096";https://twitter.com/RepBrianBabin/status/869605230253572096
;2017-05-29 07:58;7;30;"As we observe #MemorialDay , let us not forget the true meaning & remember those who sacrificed all for our freedoms. https://www. facebook.com/RepBrianBabin/ videos/696938827144770/ …";;;#MemorialDay;"869176049480978432";https://twitter.com/RepBrianBabin/status/869176049480978432
;2017-05-27 13:37;6;17;"My pleasure -- I was proud to be there. A great ceremony. Congrats to the class of 2017! https:// twitter.com/orangefield_is d/status/868490731060592640 …";;;;"868536680986312706";https://twitter.com/RepBrianBabin/status/868536680986312706
;2017-05-27 10:07;6;3;"ATTN: college students, recent grads & veterans The @WhiteHouse is accepting #intern applications. Apply here: https://www. whitehouse.gov/participate/in ternships/apply …";;@WhiteHouse;#intern;"868483836258250752";https://twitter.com/RepBrianBabin/status/868483836258250752
;2017-05-26 09:56;9;29;"It was an honor to once again put my old @usairforce uniform on & join my colleagues who are veterans for #MemorialDay service at @uscapitol pic.twitter.com/rHrkOtKm6H";;@usairforce @uscapitol;#MemorialDay;"868118718840266752";https://twitter.com/RepBrianBabin/status/868118718840266752
;2017-05-25 12:24;3;6;"Great meeting Sciarrilla family from Vidor, TX during visit to Washington, DC to attend Colby-Jay’s graduation from @NavalAcademy . #TX36 pic.twitter.com/91xAnzWGb1";;@NavalAcademy;#TX36;"867793610820902912";https://twitter.com/RepBrianBabin/status/867793610820902912
;2017-05-25 09:20;5;21;"I have 13 grandkids — and we need to stop mortgaging their future & start living within our means. #TaxpayerFirst http:// video.foxbusiness.com/v/544701966800 1/ …";;;#TaxpayerFirst;"867747299635625984";https://twitter.com/RepBrianBabin/status/867747299635625984
;2017-05-25 08:36;1;6;"Enjoyed speaking to #CitizensforSpaceExploration on U.S. human space flight. Special thanks to @BAHEP Pres. Bob Mitchell for his leadership. pic.twitter.com/deFacNptT0";;@BAHEP;#CitizensforSpaceExploration;"867736058414465024";https://twitter.com/RepBrianBabin/status/867736058414465024
;2017-05-24 16:52;15;23;"Proud to support bills to streamline appeals, end abuse of wait lists & provide COLA increase for disabled veterans. https://www. stripes.com/news/us/house- passes-va-appeals-bill-and-5-other-veterans-measures-1.469887#.WSX_qcx_p6F.twitter …";;;#;"867498484697448448";https://twitter.com/RepBrianBabin/status/867498484697448448
;2017-05-24 11:42;5;16;"I commend @POTUS for putting forth a serious #balanced budget plan that restrains spending & prioritizes U.S. security. #TaxpayerFirstBudget pic.twitter.com/DTlPxga3wn";;@POTUS;#balanced #TaxpayerFirstBudget;"867420659093303296";https://twitter.com/RepBrianBabin/status/867420659093303296
;2017-05-23 13:00;9;23;"#Manchester terror attack shows type of cowards we're dealing with. Must confront w/ full military force & sound policies that keep us safe. pic.twitter.com/F1YW3JKlpq";;;#Manchester;"867077892223717376";https://twitter.com/RepBrianBabin/status/867077892223717376
;2017-05-23 11:14;1;14;"Will be joining @TeamCavuto on @FoxBusiness shortly to discuss #Manchester terror attack. Tune in if you can.";;@TeamCavuto @FoxBusiness;#Manchester;"867051011516530689";https://twitter.com/RepBrianBabin/status/867051011516530689
;2017-05-20 07:06;8;20;"Today is #ArmedForcesDay — Please take a moment to thank our brave men & women in uniform for their service & sacrifice to our great nation. pic.twitter.com/2ZVQgshUBR";;;#ArmedForcesDay;"865901590783418368";https://twitter.com/RepBrianBabin/status/865901590783418368
;2017-05-19 14:05;1;5;"Congrats to Anahuac High School Rocket Team for successful participation in SystemsGo - Rockets 2017 Challenge in Anahuac, Texas. #TX36 pic.twitter.com/EFIaT1u391";;;#TX36;"865644615319158787";https://twitter.com/RepBrianBabin/status/865644615319158787
;2017-05-19 09:23;4;18;"This morning I joined @newstalk560klvi to discuss moving forward w/ @POTUS agenda of cutting taxes & job creation. https:// soundcloud.com/user-74835702/ babin-joins-klvi-am-560-to-discuss-moving-forward-with-trumps-agenda …";;@newstalk560klvi @POTUS;;"865573667773833216";https://twitter.com/RepBrianBabin/status/865573667773833216
;2017-05-18 16:07;13;22;"The #ThinBlueLineAct sends clear message that stalking & killing of law enforcement officers will not be tolerated. http://www. washingtonexaminer.com/article/2623533";;;#ThinBlueLineAct;"865312844149125120";https://twitter.com/RepBrianBabin/status/865312844149125120
;2017-05-18 11:10;20;39;"Where was the special counsel to investigate Obama-era scandals like #Benghazi , Fast & Furious, #ClintonFoundation or IRS targeting? pic.twitter.com/Odfpx0zyTq";;;#Benghazi #ClintonFoundation;"865238156274130945";https://twitter.com/RepBrianBabin/status/865238156274130945
;2017-05-17 13:32;2;14;"I strongly support #ThinBlueLineAct , which makes it easier to seek death penalty for those who kill state or local law enforcement officers. pic.twitter.com/2fQwGX773I";;;#ThinBlueLineAct;"864911617422655489";https://twitter.com/RepBrianBabin/status/864911617422655489
;2017-05-17 12:02;2;9;"Great visit w/ Tyler County Sheriff's Deputies Casey Whitworth & Tawun Mitchell – two great law enforcement officers from my home county. pic.twitter.com/AR89CgM4SM";;;;"864888777461948416";https://twitter.com/RepBrianBabin/status/864888777461948416
;2017-05-17 09:03;2;4;"Attention all college students & recent graduates: I’m looking for fall semester interns for DC & TX. Apply here: https:// babin.house.gov/forms/internsh ips/ …";;;;"864843817379352576";https://twitter.com/RepBrianBabin/status/864843817379352576
;2017-05-16 15:52;9;22;"Honored to attend Deer Park Police Officer Memorial Service to express my sincere thanks & appreciation for our local law enforcement. #TX36 pic.twitter.com/v6Kcd6he5X";;;#TX36;"864584328453525507";https://twitter.com/RepBrianBabin/status/864584328453525507
;2017-05-16 10:20;4;10;"Proud to join groundbreaking ceremony for @LyondellBasell 's new Hyperzone plant in #LaPorte — which will bring good paying jobs to #TX36 ! pic.twitter.com/i1eGP0gAFM";;@LyondellBasell;#LaPorte #TX36;"864500753968373760";https://twitter.com/RepBrianBabin/status/864500753968373760
;2017-05-15 08:33;9;17;"It's #NationalPoliceWeek —a time to honor police & pay tribute to those who gave their lives in duty. Thank you to all #TX36 law enforcement. pic.twitter.com/27KX8GQwyS";;;#NationalPoliceWeek #TX36;"864111499077398530";https://twitter.com/RepBrianBabin/status/864111499077398530
;2017-05-14 07:48;12;25;"Happy Mother’s Day! Thank you to all of the amazing mothers out there for everything you do to make our families stronger. #MothersDay2017 pic.twitter.com/fhXLtEMspt";;;#MothersDay2017;"863737703489310720";https://twitter.com/RepBrianBabin/status/863737703489310720
;2017-05-11 13:05;17;30;"Thank you @VP for making clear today that protecting persecuted Christians will be priority for this Administration! https:// www1.cbn.com/cbnnews/world/ 2017/may/we-will-stop-them-pence-vows-us-will-stand-with-worlds-persecuted-christians …";;@VP;;"862730355664723969";https://twitter.com/RepBrianBabin/status/862730355664723969
;2017-05-08 08:25;16;32;"Thank you @GovAbbott for upholding #ruleoflaw & putting safety of Texans first by ending #sanctuarycities in Texas. http://www. houstonchronicle.com/news/houston-t exas/houston/article/Gov-Greg-Abbott-signs-sanctuary-cities-ban-11128363.php?t=76f8c803f9438d9cbb&cmpid=twitter-premium …";;@GovAbbott;#ruleoflaw #sanctuarycities;"861572771012378624";https://twitter.com/RepBrianBabin/status/861572771012378624
;2017-05-05 10:24;17;49;"Great news! @POTUS took important step forward to protect rights of those with deeply held religious convictions. http://www. cbsnews.com/news/trump-sig ns-religious-liberty-order-to-defend-freedom-of-religion/#…";;@POTUS;#;"860515438622584832";https://twitter.com/RepBrianBabin/status/860515438622584832
;2017-05-04 08:21;2;14;"Today, on #NationalDayofPrayer , please join me in praying for wisdom for our leaders – @POTUS , @VP , Congress & state and local officials. pic.twitter.com/zV3UzUiGAL";;@POTUS @VP;#NationalDayofPrayer;"860122198501150720";https://twitter.com/RepBrianBabin/status/860122198501150720
;2017-05-04 06:20;9;57;"Looking forward to joining @MariaBartiromo on @FoxBusiness this morning at 8am ET to discuss today's health care vote & more. Tune in!";;@MariaBartiromo @FoxBusiness;;"860091834516811776";https://twitter.com/RepBrianBabin/status/860091834516811776
;2017-05-03 15:17;10;32;"Just voted NO on $1 trillion #omnibus because it lacks so many priorities we Republicans were elected to carry out → https://www. facebook.com/RepBrianBabin/ posts/685710491600937 …";;;#omnibus;"859864637533302784";https://twitter.com/RepBrianBabin/status/859864637533302784
;2017-05-03 12:35;3;8;"Praying for the folks of Buna and everyone across #TX36 . Please stay safe. https:// twitter.com/kfdmnews/statu s/859819701077147649 …";;;#TX36;"859823637632823296";https://twitter.com/RepBrianBabin/status/859823637632823296
;2017-05-03 12:12;2;7;"Great to welcome the Woods Family from Livingston, Texas and the Griffith Family from Huffman, Texas to the United States Capitol. #TX36 pic.twitter.com/Pkr1f4t56W";;;#TX36;"859817975658029057";https://twitter.com/RepBrianBabin/status/859817975658029057
;2017-05-03 10:41;3;6;"As severe weather continues through #TX36 , please be safe and take precaution. http://www. beaumontenterprise.com/news/article/P arts-of-Kountze-damaged-from-storm-possible-11117683.php?cmpid=twitter-desktop … via @bmtenterprise";;@bmtenterprise;#TX36;"859795084606353408";https://twitter.com/RepBrianBabin/status/859795084606353408
;2017-05-02 13:09;9;9;"Please read my op-ed in @dailycaller : "Why We Must End The Abuse Of The Senate Filibuster" → http:// dailycaller.com/2017/05/02/why -we-must-end-the-abuse-of-the-senate-filibuster/ …";;@dailycaller;;"859470034447605760";https://twitter.com/RepBrianBabin/status/859470034447605760
;2017-05-01 16:39;14;32;"I oppose & will be voting against $1 trillion #omnibus spending bill. This is yet another example why Senate needs to end filibuster abuse.";;;#omnibus;"859160475334045701";https://twitter.com/RepBrianBabin/status/859160475334045701
;2017-05-01 11:29;3;4;"It is #SmallBusinessWeek – a time to celebrate critical role of America’s small businesses. A special thanks to all of our small businesses! pic.twitter.com/JjSJCIIS6u";;;#SmallBusinessWeek;"859082342912098305";https://twitter.com/RepBrianBabin/status/859082342912098305
;2017-05-01 08:34;16;22;"ICYMI—Joined @SeanHannity radio show to discuss my request for investigation into #SusanRice . Click here to listen → http:// bit.ly/2p0TKt4";;@SeanHannity;#SusanRice;"859038270872854528";https://twitter.com/RepBrianBabin/status/859038270872854528
;2017-04-28 14:16;2;6;"Joining @seanhannity radio show at 4pET to discuss my letter to AG Sessions on #SusanRice & more. Listen online here http:// tunein.com/radio/The-Sean -Hannity-Show-p20631/ …";;@seanhannity;#SusanRice;"858037244162125824";https://twitter.com/RepBrianBabin/status/858037244162125824
;2017-04-28 12:10;5;19;"In #100Days , @POTUS oversaw 500k+ new jobs, cut illegal border crossings 61%, approved Keystone & confirmed Gorsuch. http:// thehill.com/blogs/congress -blog/politics/330984-were-off-to-a-great-start-under-trumps-first-100-days#.WQNyevmEdj8.twitter …";;@POTUS;#100Days #;"858005444157218816";https://twitter.com/RepBrianBabin/status/858005444157218816
;2017-04-28 08:43;11;15;"Thank you, @POTUS . We must change culture at VA to ensure our veterans are put first & receive respect they deserve. http://www. washingtonexaminer.com/article/2621511";;@POTUS;;"857953541868093441";https://twitter.com/RepBrianBabin/status/857953541868093441
;2017-04-27 13:49;3;12;"It was great meeting today with EPA Administrator @EPAScottPruitt & Secretary of Education @BetsyDeVos . Both excellent choices by @POTUS ! pic.twitter.com/BiEShi7pj6";;@EPAScottPruitt @BetsyDeVos @POTUS;;"857668048920162304";https://twitter.com/RepBrianBabin/status/857668048920162304
;2017-04-27 09:25;6;6;"Saturday marks 100th day of Trump Administration. What grade would you give @POTUS on first 100 days? Tell me here: https:// babin.house.gov/forms/form/?ID =36 … . pic.twitter.com/XBePhrqa4o";;@POTUS;;"857601712877703168";https://twitter.com/RepBrianBabin/status/857601712877703168
;2017-04-26 16:19;47;68;"I applaud @POTUS for standing up for these Americans & making clear that illegal immigration is not victimless crime http://www. washingtonexaminer.com/article/2621330";;@POTUS;;"857343521119973377";https://twitter.com/RepBrianBabin/status/857343521119973377
;2017-04-26 12:28;4;10;"Great meeting w/Joey Davis & Mark Tamplin (Jasper-Newton Co-Op), Jessie Morgan (Deep East Texas Co-Op) & Keith Stapleton (Sam Houston Co-Op) pic.twitter.com/0prOBRISjo";;;;"857285282391085056";https://twitter.com/RepBrianBabin/status/857285282391085056
;2017-04-26 08:32;14;21;"We must ensure the folks we're inviting into America are fully vetted & committed to our long-term prosperity. https:// youtu.be/MHQb35WHL1g #HR80 pic.twitter.com/zW7gRq8Qk8";;;#HR80;"857225952136450048";https://twitter.com/RepBrianBabin/status/857225952136450048
;2017-04-25 14:30;0;6;"Our office proudly recognized #TX36 students at VFW Post 2775 awards banquet in Orange for winning scholarships from @VFWHQ essay contest. pic.twitter.com/6BY4lUqdWB";;@VFWHQ;#TX36;"856953458116747264";https://twitter.com/RepBrianBabin/status/856953458116747264
;2017-04-25 11:38;4;23;"I support @POTUS decision to levy appropriate tariff on Canadian lumber imports. East Texas Timber Country thanks you for taking a stand! https:// twitter.com/WSJ/status/856 651183531982848 …";;@POTUS;;"856910339639844864";https://twitter.com/RepBrianBabin/status/856910339639844864
;2017-04-24 12:35;6;6;"I recently joined KOGT Radio to discuss Obamacare, border security, Syria & much more. Click here to listen → https:// soundcloud.com/user-74835702/ babin-joins-kogt-radio-to-give-congressional-update-answer-constituent-questions … . #TX36";;;#TX36;"856562316384641025";https://twitter.com/RepBrianBabin/status/856562316384641025
;2017-04-24 10:09;8;15;"Congrats to @AstroPeggy for breaking record for most days in space by U.S. astronaut. An incredible and exciting achievement! #CongratsPeggy https:// twitter.com/NASA/status/85 6519978962563073 …";;@AstroPeggy;#CongratsPeggy;"856525494023585793";https://twitter.com/RepBrianBabin/status/856525494023585793
;2017-04-21 12:07;2;6;"This week, I had the opportunity to tour South Hampton Resources in #Silsbee , Texas and meet with some of the plant employees. #TX36 pic.twitter.com/oStF3RsuuW";;;#Silsbee #TX36;"855467931307831296";https://twitter.com/RepBrianBabin/status/855467931307831296
;2017-04-21 08:38;2;7;"#HappySanJacintoDay ! Today marks the day #Texas officially won its independence from Mexico at the Battle of San Jacinto. pic.twitter.com/4YXOFwdNN9";;;#HappySanJacintoDay #Texas;"855415423344496640";https://twitter.com/RepBrianBabin/status/855415423344496640
;2017-04-20 15:51;0;10;"Visited #Deweyville , TX to see firsthand progress & areas of need as community continues to rebuild from last year’s catastrophic flooding. pic.twitter.com/fsNstibac6";;;#Deweyville;"855161938443210756";https://twitter.com/RepBrianBabin/status/855161938443210756
;2017-04-20 10:28;10;32;"Honored to visit @LCMHSBEARS to meet w/ students & congratulate Trey Guillory & Mack Patterson on appointments to U.S. service academies. pic.twitter.com/Fes5fkR6Oy";;@LCMHSBEARS;;"855080836177285120";https://twitter.com/RepBrianBabin/status/855080836177285120
;2017-04-20 08:20;2;6;"I will be joining the Laura Ingraham Show at 8:35am CT. Listen online here: http:// tunein.com/radio/Laura-In graham-Show-p43476/ …";;;;"855048613273227264";https://twitter.com/RepBrianBabin/status/855048613273227264
;2017-04-19 14:51;3;6;"Special thanks to #Deweyville ISD Superintendent Kevin Clark for tour of Deweyville Elementary & an update on flood recovery efforts. #TX36 pic.twitter.com/TXn39Or35M";;;#Deweyville #TX36;"854784436034056192";https://twitter.com/RepBrianBabin/status/854784436034056192
;2017-04-19 12:24;0;3;"Had breakfast w/ elected officials from Orange & Hardin Counties to answer their questions & discuss ways we can better serve them. #TX36 pic.twitter.com/NUANiAqqKl";;;#TX36;"854747425961123840";https://twitter.com/RepBrianBabin/status/854747425961123840
;2017-04-19 09:19;4;2;"Thank you to Fred Swift & Brandon Willis of IUOE Local 450 for showing me around their apprenticeship & training facility in Dayton, Texas. pic.twitter.com/HtQriidkww";;;;"854701100565487620";https://twitter.com/RepBrianBabin/status/854701100565487620
;2017-04-18 15:10;2;11;"Honored to be presented w/ @ShopFloorNAM Award for Manufacturing Legislative Excellence during tour of @SchwansCompany in Deer Park, Texas. pic.twitter.com/nSgDkqs5SG";;@ShopFloorNAM @SchwansCompany;;"854426981009694721";https://twitter.com/RepBrianBabin/status/854426981009694721
;2017-04-18 12:49;1;9;"Congrats to @NASA / @OrbitalATK team on successful launch of commercial resupply mission to @Space_Station . http://www. cbsnews.com/news/commercia l-cargo-ship-launched-to-space-station/#…";;@NASA @OrbitalATK @Space_Station;#;"854391340351631360";https://twitter.com/RepBrianBabin/status/854391340351631360
;2017-04-18 09:14;17;10;". @POTUS wants to hear your ideas on how to make the federal government more efficient. Click here to let him know: https://www. whitehouse.gov/reorganizing-t he-executive-branch …";;@POTUS;;"854337341997056000";https://twitter.com/RepBrianBabin/status/854337341997056000
;2017-04-16 10:54;6;31;"Happy Easter! Hope you have a blessed and meaningful #Easter surrounded by the ones you love most. pic.twitter.com/xZqwBqdHHt";;;#Easter;"853637659222315008";https://twitter.com/RepBrianBabin/status/853637659222315008
