username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-05-23 17:14;4;15;"Today I called on @USPS to issue a stamp to honor fallen police officers and donate the proceeds to their families. http:// bit.ly/2q8NnIR";;@USPS;;"867141830210719744";https://twitter.com/RepMcNerney/status/867141830210719744
;2017-05-20 13:14;7;15;"As the proud parent of a veteran, I hope you'll join me in thanking the brave men and women who serve in our military this #ArmedForcesDay . pic.twitter.com/mHbQxqH6VE";;;#ArmedForcesDay;"865994185928826880";https://twitter.com/RepMcNerney/status/865994185928826880
;2017-05-20 11:54;52;181;"A special prosecutor was a good first step, but the White House still has oversight. In the meantime, I'll continue working on your behalf. pic.twitter.com/fEq2JmV2KV";;;;"865973955735277568";https://twitter.com/RepMcNerney/status/865973955735277568
;2017-05-19 10:08;1;12;"Congratulations to the @StocktonPolice on winning the @NLEOMF National Wellness Award! #PoliceWeek";;@StocktonPolice @NLEOMF;#PoliceWeek;"865584838530617345";https://twitter.com/RepMcNerney/status/865584838530617345
;2017-05-16 09:34;4;14;"As a member of @CAPAC , I'm proud to join in celebrating Asian Pacific American Heritage Month throughout the month of may. pic.twitter.com/tzV52HWf21";;@CAPAC;;"864489339325222912";https://twitter.com/RepMcNerney/status/864489339325222912
;2017-05-10 15:09;18;35;"My statement on the #ComeyFiring : pic.twitter.com/NYs3C3b0Qq";;;#ComeyFiring;"862399233802080257";https://twitter.com/RepMcNerney/status/862399233802080257
;2017-05-05 14:27;5;5;"This #SmallBusinessWeek , let's help small businesses that help Americans get back to work. pic.twitter.com/h5W0sQpgs9";;;#SmallBusinessWeek;"860576815269728259";https://twitter.com/RepMcNerney/status/860576815269728259
;2017-05-04 14:43;14;32;"My statement on the disappointing results of today's #Trumpcare vote: pic.twitter.com/kcdgJJ8nBK";;;#Trumpcare;"860218440845537280";https://twitter.com/RepMcNerney/status/860218440845537280
;2017-05-04 12:45;18;27;"#TrumpCare would hurt millions of Americans who are now insured. Instead, let's work together to improve what we have. pic.twitter.com/pVhsPTrptw";;;#TrumpCare;"860188757017993217";https://twitter.com/RepMcNerney/status/860188757017993217
;2017-05-04 09:42;14;17;"#TrumpCare is bad for our seniors, our children, and Americans in need. pic.twitter.com/qlPqx2WA58";;;#TrumpCare;"860142517706272769";https://twitter.com/RepMcNerney/status/860142517706272769
;2017-05-03 17:14;3;3;"That's why I introduced new legislation to invest in the small businesses that invest in our communities. http:// bit.ly/2oZlUsz";;;;"859893843961012224";https://twitter.com/RepMcNerney/status/859893843961012224
;2017-05-03 17:13;2;2;"This #SmallBusinessWeek , we should focus on investing in small business and helping people get back to work. pic.twitter.com/ClkD2agDTZ";;;#SmallBusinessWeek;"859893585394769920";https://twitter.com/RepMcNerney/status/859893585394769920
;2017-05-01 15:33;6;8;"We can combat #climatechange and create good-paying jobs. I hope Republicans will seize this opportunity. https:// youtu.be/7PTqERY7f6Q";;;#climatechange;"859143657621991426";https://twitter.com/RepMcNerney/status/859143657621991426
;2017-04-26 17:23;22;18;"The #GOP took away your internet #privacy rights. Now they want to gut #NetNeutrality rules. We must protect the #openinternet . pic.twitter.com/aWFfX1r9lO";;;#GOP #privacy #NetNeutrality #openinternet;"857359453733232640";https://twitter.com/RepMcNerney/status/857359453733232640
;2017-04-25 13:23;3;1;"Don't forget submissions for the 2017 National Congressional Art Competition are due Friday. For more information: http:// bit.ly/2p1uDJ7 pic.twitter.com/TkchPlYyHU";;;;"856936617189273603";https://twitter.com/RepMcNerney/status/856936617189273603
;2017-04-24 17:12;2;8;"It was an honor to receive this year's Pioneer in Healthcare Policy Award from the @BrainMappingFdn . pic.twitter.com/kgyTshYdjz";;@BrainMappingFdn;;"856631863506612224";https://twitter.com/RepMcNerney/status/856631863506612224
;2017-04-22 17:32;9;20;"We can celebrate #EarthDay today and all year long by joining together to do our part to protect the environment and our planet.";;;#EarthDay;"855912140041015297";https://twitter.com/RepMcNerney/status/855912140041015297
;2017-04-19 14:34;1;8;"Great visit this week with the @UOPacific Civil Engineering Department! pic.twitter.com/jZO4bmtt8K";;@UOPacific;;"854780296008486913";https://twitter.com/RepMcNerney/status/854780296008486913
;2017-04-17 15:40;35;52;"It's time we all learned the truth about the #WarOnScience . Check out my op-ed in @thehill for the full story. http:// bit.ly/2oPaCWI";;@thehill;#WarOnScience;"854072180044439552";https://twitter.com/RepMcNerney/status/854072180044439552
;2017-04-14 12:49;15;28;"Wishing our Sikh American neighbors, classmates & colleagues a happy #Vaisakhi !";;;#Vaisakhi;"852941894221004800";https://twitter.com/RepMcNerney/status/852941894221004800
;2017-04-08 12:55;32;67;"HAPPENING NOW: my joint town hall in #Antioch with @RepDeSaulnier . Tune in on Facebook Live - http:// m.facebook.com/jerrymcnerney/";;@RepDeSaulnier;#Antioch;"850769126431879168";https://twitter.com/RepMcNerney/status/850769126431879168
;2017-04-07 18:51;16;26;"Tomorrow (Saturday 4/8) 10:30am-12pm PDT, I will be hosting a joint town hall with @RepDeSaulnier in #Antioch . I hope to see you there. pic.twitter.com/jqn8Bq6VGv";;@RepDeSaulnier;#Antioch;"850496351695773696";https://twitter.com/RepMcNerney/status/850496351695773696
;2017-04-04 12:19;5;7;"The pay gap starts early. Just one year out of college, women already earn 7% less than men. #EqualPayDay";;;#EqualPayDay;"849310513716703234";https://twitter.com/RepMcNerney/status/849310513716703234
;2017-04-04 12:10;13;20;"Over a 40-year career, a 20-year-old woman today would miss out on $418,000. This is absolutely unacceptable. #EqualPayDay";;;#EqualPayDay;"849308099747999745";https://twitter.com/RepMcNerney/status/849308099747999745
;2017-04-03 23:19;23;37;"Very disappointed @POTUS signed bill into law that strips consumers of their #broadbandprivacy & #security . http:// money.cnn.com/2017/04/03/tec hnology/internet-privacy-law-trump/ … .";;@POTUS;#broadbandprivacy #security;"849114163976830976";https://twitter.com/RepMcNerney/status/849114163976830976
;2017-04-03 20:13;8;10;"Consumers want more online privacy & security. #GOP #broadbandprivacy bill does the complete opposite. https:// youtu.be/IV91Trhed_c .";;;#GOP #broadbandprivacy;"849067251949064195";https://twitter.com/RepMcNerney/status/849067251949064195
;2017-03-31 18:08;3;10;"Remembering historical icon César Chávez today & his tireless advocacy for workers' rights, social justice, civil liberties. #CesarChavezDay pic.twitter.com/DFuL4ONaJq";;;#CesarChavezDay;"847948637137195008";https://twitter.com/RepMcNerney/status/847948637137195008
;2017-03-30 17:51;4;12;"The fight to protect & improve our #healthcare system isn't over. We should be looking for ways to improve & build off of #ACA 's success.";;;#healthcare #ACA;"847582039540875264";https://twitter.com/RepMcNerney/status/847582039540875264
;2017-03-30 17:06;10;18;"If you're under the poverty line, #TitleX means access to #healthcare . Disappointed to see that #GOP is now using it to curb women's choice.";;;#TitleX #healthcare #GOP;"847570669747531776";https://twitter.com/RepMcNerney/status/847570669747531776
;2017-03-28 22:25;14;32;"Today, @POTUS overturned the #CleanPowerPlan – putting our health and climate at serious risk.";;@POTUS;#CleanPowerPlan;"846926235540373504";https://twitter.com/RepMcNerney/status/846926235540373504
;2017-03-28 15:11;12;37;"Coming up shortly: I will be speaking on the House floor to protect consumers' #broadbandprivacy . Watch: http:// houselive.gov .";;;#broadbandprivacy;"846816945722810369";https://twitter.com/RepMcNerney/status/846816945722810369
;2017-03-24 16:02;13;66;". @HouseGOP did what I've asked for all week – withdraw their terrible bill. I will continue to fight to #ProtectOurCare .";;@HouseGOP;#ProtectOurCare;"845380408246177792";https://twitter.com/RepMcNerney/status/845380408246177792
;2017-03-23 13:37;9;20;"#TrumpCare puts over 30 million children at risk of losing their #healthcare .";;;#TrumpCare #healthcare;"844981554938073089";https://twitter.com/RepMcNerney/status/844981554938073089
;2017-03-23 13:20;14;18;"Under #TrumpCare , #CA09 will lose thousands of jobs and constituents will #PayMoreForLess .";;;#TrumpCare #CA09 #PayMoreForLess;"844977253666709507";https://twitter.com/RepMcNerney/status/844977253666709507
;2017-03-23 10:41;15;19;"#SanJoaquinCounty will lose $498 million in crucial #Medicaid funding because of #TrumpCare .";;;#SanJoaquinCounty #Medicaid #TrumpCare;"844937065146044419";https://twitter.com/RepMcNerney/status/844937065146044419
;2017-03-23 10:35;10;18;"#Trumpcare ’s cuts to Medicaid will hurt working families, children, Americans with disabilities, and seniors.";;;#Trumpcare;"844935724277387264";https://twitter.com/RepMcNerney/status/844935724277387264
;2017-03-23 09:03;13;32;"On the floor now opposing #GOPrepeal bill and speaking about its harmful effects for millions of Americans. #ProtectOurCare";;;#GOPrepeal #ProtectOurCare;"844912549816647681";https://twitter.com/RepMcNerney/status/844912549816647681
;2017-03-20 21:32;4;10;"I am looking forward to speaking at the @AMWA_water conference next week. https:// twitter.com/amwa_water/sta tus/843818324790251521 …";;@AMWA_water;;"844013899900960769";https://twitter.com/RepMcNerney/status/844013899900960769
;2017-03-19 22:08;1;17;"Thanks to all of the #CA09 constituents who attended my #Antioch town hall last weekend. pic.twitter.com/8SOQJIdvb8";;;#CA09 #Antioch;"843660441754722306";https://twitter.com/RepMcNerney/status/843660441754722306
;2017-03-16 11:07;35;45;"Check out my recent interview with @PacificStand on what it's like to be a scientist in Congress: https:// psmag.com/what-its-like- to-be-a-scientist-in-congress-jerry-mcnerney-be28a172bac6#.mmek0qoe0 …";;@PacificStand;#;"842407031889920000";https://twitter.com/RepMcNerney/status/842407031889920000
;2017-03-14 16:57;5;27;"Happy #PiDay ! As the only mathematician in Congress, I wanted to share a few things with you about Pi: http:// bit.ly/2mKSOdT #piday2017";;;#PiDay #piday2017;"841770287800700931";https://twitter.com/RepMcNerney/status/841770287800700931
;2017-03-13 17:16;33;22;"#CBO estimates that under . @HouseGOP 's #PayMoreForLess bill, 24 million Americans will lose their #health coverage. pic.twitter.com/c7HTYLL14J";;@HouseGOP;#CBO #PayMoreForLess #health;"841412696738275328";https://twitter.com/RepMcNerney/status/841412696738275328
;2017-03-11 12:41;7;9;"HAPPENING NOW: my #Antioch town hall. Tune in on Facebook Live - https:// m.facebook.com/jerrymcnerney/ #CA09";;;#Antioch #CA09;"840633900955254784";https://twitter.com/RepMcNerney/status/840633900955254784
;2017-03-11 09:40;1;6;"TODAY from 10:30am-12pm PST, I will be holding a town hall in #Antioch @Deer Valley High School, West Cafeteria (4700 Lone Tree Way). #CA09";;@Deer;#Antioch #CA09;"840588257658359808";https://twitter.com/RepMcNerney/status/840588257658359808
;2017-03-09 22:56;13;7;"I hope you can join me this Saturday 10:30am-12pm PST for my town hall in #Antioch @Deer Valley High School (4700 Lone Tree Way). #CA09 pic.twitter.com/hm4zRwjhsi";;@Deer;#Antioch #CA09;"840063725402910722";https://twitter.com/RepMcNerney/status/840063725402910722
;2017-03-09 18:22;3;10;"Sharing video after 27-hour @EnergyCommerce markup of #GOPrepeal bill. Will keep fighting for #ACA . #ProtectOurCare . http:// bit.ly/2lJ7CL7";;@EnergyCommerce;#GOPrepeal #ACA #ProtectOurCare;"839994907116896256";https://twitter.com/RepMcNerney/status/839994907116896256
;2017-03-09 10:39;6;21;"For over 24 hours, my Dem colleagues and I have been at @EnergyCommerce markup fighting against flawed #GOPrepeal bill. pic.twitter.com/jgulhURyoY";;@EnergyCommerce;#GOPrepeal;"839878362504003585";https://twitter.com/RepMcNerney/status/839878362504003585
;2017-03-09 07:28;1;12;"We are now heading into 23rd hour of #GOPrepeal @EnergyCommerce markup. I am still here fighting to #ProtectOurCare . http:// bit.ly/2n5Wdls";;@EnergyCommerce;#GOPrepeal #ProtectOurCare;"839830252645978116";https://twitter.com/RepMcNerney/status/839830252645978116
;2017-03-08 16:33;7;28;"Women earn only 80 cents for every dollar a man earns. We must keep fighting for equal pay & equal rights. #InternationalWomensDay #IWD2017";;;#InternationalWomensDay #IWD2017;"839604942948151297";https://twitter.com/RepMcNerney/status/839604942948151297
;2017-03-08 14:05;0;1;"Watch my opening statement from today's @EnergyCommerce markup of #ACA #GOPrepeal bill: http:// bit.ly/2nfozsX . #ProtectOurCare";;@EnergyCommerce;#ACA #GOPrepeal #ProtectOurCare;"839567683431596032";https://twitter.com/RepMcNerney/status/839567683431596032
;2017-03-08 10:30;11;10;"Since #ACA enacted, #CA uninsured rate has fallen by 54% & over 263k people have gained #health coverage in #CA09 counties. #ProtectOurCare";;;#ACA #CA #health #CA09 #ProtectOurCare;"839513737128206336";https://twitter.com/RepMcNerney/status/839513737128206336
;2017-03-08 10:27;7;25;"Just gave my opening statement to defend #ACA . Repealing ACA will cause millions of people to lose coverage. #ProtectOurCare";;;#ACA #ProtectOurCare;"839512909009063938";https://twitter.com/RepMcNerney/status/839512909009063938
;2017-03-08 09:22;4;3;"TODAY @10:30 am EST, @EnergyCommerce will debate GOP's #ACA repeal. Watch live: http:// bit.ly/2n5Wdls .";;@10 @EnergyCommerce;#ACA;"839496528779755524";https://twitter.com/RepMcNerney/status/839496528779755524
;2017-03-07 18:15;8;22;"This Saturday (3/11) 10:30am-12pm PST, I will be holding a town hall in #Antioch @Deer Valley High School (4700 Lone Tree Way). #CA09 pic.twitter.com/wWWlxdNOFX";;@Deer;#Antioch #CA09;"839268226135691264";https://twitter.com/RepMcNerney/status/839268226135691264
;2017-03-07 16:49;1;0;"TODAY 6-7:30pm PST, my staff, @cccpublicworks & @fema hosting #floodinsurance workshop @Excelsior Middle School 14301 Byron Hwy, Byron, CA";;@cccpublicworks @fema @Excelsior;#floodinsurance;"839246621007282176";https://twitter.com/RepMcNerney/status/839246621007282176
;2017-03-06 20:55;4;3;"Tomorrow (3/7) 6-7:30pm PST, my staff, reps from @cccpublicworks & @fema will host #flood map and insurance resource workshop. #CAflood pic.twitter.com/ba5TwsJRnA";;@cccpublicworks @fema;#flood #CAflood;"838946102363713536";https://twitter.com/RepMcNerney/status/838946102363713536
;2017-03-06 12:18;3;20;"Thanks to everyone who came to my town hall in #Stockton yesterday. It was great to hear from and see so many #CA09 constituents. pic.twitter.com/bQJzfXYa22";;;#Stockton #CA09;"838815966561767425";https://twitter.com/RepMcNerney/status/838815966561767425
;2017-03-05 14:11;4;13;"TODAY from 6-7:30 pm PST, I will be holding a town hall in #Stockton @Mayfair Seventh Day Adventist Church (6940 N. El Dorado Street). #CA09";;@Mayfair;#Stockton #CA09;"838482178845597703";https://twitter.com/RepMcNerney/status/838482178845597703
;2017-03-04 20:09;7;7;"ICYMI: my interview yesterday w/ @KQEDNewsroom - https:// ww2.kqed.org/news/2017/03/0 3/uc-sexual-misconduct-congressman-jerry-mcnerney-assemblyman-chad-mayes-the-trocks/ …";;@KQEDNewsroom;;"838209856167358465";https://twitter.com/RepMcNerney/status/838209856167358465
;2017-03-04 10:59;26;32;"I hope you can join me tomorrow (3/5) 6-7:30 pm PST for my town hall in #Stockton @6940 N. El Dorado St. #CA09 pic.twitter.com/nkrHl7mKdg";;@6940;#Stockton #CA09;"838071391165550592";https://twitter.com/RepMcNerney/status/838071391165550592
