username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-06-15 12:59;0;1;"For those interested in U.S. history & #SouthJersey (like me) check this out! https:// twitter.com/cpsj/status/87 5057808730988544 …";;;#SouthJersey;"875412499960664066";https://twitter.com/DonaldNorcross/status/875412499960664066
;2017-06-15 11:34;5;4;"Happy 5th birthday #DACA ! This program is good for Americans & good for America's economy. #ImmigrantHeritageMonth #DREAMers #HereToStay pic.twitter.com/4Ij7Oh9vhg";;;#DACA #ImmigrantHeritageMonth #DREAMers #HereToStay;"875391006241415169";https://twitter.com/DonaldNorcross/status/875391006241415169
;2017-06-15 08:12;1;27;"I'm a very proud Poppy as my Granddaughter Nattalie graduates high school today (and probably an embarrassing Poppy with this post) pic.twitter.com/0NIsBZsFTa";;;;"875340335777533953";https://twitter.com/DonaldNorcross/status/875340335777533953
;2017-06-15 07:52;3;2;"We should constantly listen to others & work together (across the aisle). #opioidcrisis @KennedyHealth @RepMeehan http:// bit.ly/2swfKBN";;@KennedyHealth @RepMeehan;#opioidcrisis;"875335212959494144";https://twitter.com/DonaldNorcross/status/875335212959494144
;2017-06-14 07:14;8;14;"Geez. Terrible. My thoughts & prayers are w/my colleagues, their staff members & officers. https:// twitter.com/GMA/status/874 962786056622081 …";;;;"874963142144643072";https://twitter.com/DonaldNorcross/status/874963142144643072
;2017-06-13 11:40;3;7;"Thanks to everyone who came to my college #financialaid workshop last week. Check out the photos here: http:// bit.ly/2soINa4 pic.twitter.com/3bCeWQVHnI";;;#financialaid;"874667698948636672";https://twitter.com/DonaldNorcross/status/874667698948636672
;2017-06-13 07:52;2;7;"Thx Dr.Baird of @KennedyHealth , @RepMeehan , @LouisCappelliJr , @4everinrhearts & those standing w/us against opiod abuse http:// bit.ly/2rr1FAd https:// twitter.com/CPnewsdesigns/ status/874490535100153856 …";;@KennedyHealth @RepMeehan @LouisCappelliJr @4everinrhearts;;"874610410493759488";https://twitter.com/DonaldNorcross/status/874610410493759488
;2017-06-12 14:58;4;6;"Last yr after #PulseShooting I said: "We have the power to do something & we must" Still no action= #MondayMotivation http:// on.cpsj.com/2tecFCx";;;#PulseShooting #MondayMotivation;"874355245903745025";https://twitter.com/DonaldNorcross/status/874355245903745025
;2017-06-12 12:22;2;18;"*unconstitutional* travel ban (that goes against American values) https:// twitter.com/NPR/status/874 313123443998720 …";;;;"874315875209424902";https://twitter.com/DonaldNorcross/status/874315875209424902
;2017-06-12 12:03;5;17;"Today, we sadly remember the lives lost a year ago in the #PulseShooting . I'll always fight for equality & against terror. #OrlandoUnitedDay pic.twitter.com/EkO3PTTCNX";;;#PulseShooting #OrlandoUnitedDay;"874311126447783937";https://twitter.com/DonaldNorcross/status/874311126447783937
;2017-06-12 11:48;9;16;"Since someone can cross a bridge & cross state lines, we must cross party lines to curb the #opioidepidemic . http:// bit.ly/2sfyHYk pic.twitter.com/YovOkDcVgV";;;#opioidepidemic;"874307450387738624";https://twitter.com/DonaldNorcross/status/874307450387738624
;2017-06-09 16:36;6;10;"We should be working to create jobs, not taking away health care from working families who need it. @edworkforcedems http:// bit.ly/2rK7Kez";;@edworkforcedems;;"873292756319391744";https://twitter.com/DonaldNorcross/status/873292756319391744
;2017-06-09 08:47;0;12;"FED FUNDING: @RowanUniversity gets $200K+ to keep our future workforce safe using virtual reality tools! http:// bit.ly/2s4aqV3";;@RowanUniversity;;"873174750377508864";https://twitter.com/DonaldNorcross/status/873174750377508864
;2017-06-08 15:52;5;13;"It’s as if Republicans have collective amnesia about the financial crisis of 2008. #WrongChoiceAct http:// bit.ly/2r12DUL";;;#WrongChoiceAct;"872919174380744705";https://twitter.com/DonaldNorcross/status/872919174380744705
;2017-06-08 15:21;2;5;"My full statement on the #ComeyHearing : http:// bit.ly/2s8Zrus #FollowTheFacts #IndependentInvestigation #ComeyDay pic.twitter.com/FNQIayuikU";;;#ComeyHearing #FollowTheFacts #IndependentInvestigation #ComeyDay;"872911495310569473";https://twitter.com/DonaldNorcross/status/872911495310569473
;2017-06-08 15:05;0;2;"Need a break from #Comey TV in #SouthJersey & want tips on staying out of #collegedebt ? Come to my college #financialaid workshop tonight! pic.twitter.com/5tju31tUbz";;;#Comey #SouthJersey #collegedebt #financialaid;"872907520104427520";https://twitter.com/DonaldNorcross/status/872907520104427520
;2017-06-08 07:18;2;16;"I feel "completely & totally vindicated" on our constant calls for an #independentinvestigation . #FollowTheFacts";;;#independentinvestigation #FollowTheFacts;"872789924784857094";https://twitter.com/DonaldNorcross/status/872789924784857094
;2017-06-07 13:20;1;7;"When it's the wrong choice for working families, it's the wrong choice for me. #WrongChoiceAct pic.twitter.com/VQ7Gy2pGFX";;;#WrongChoiceAct;"872518736728686598";https://twitter.com/DonaldNorcross/status/872518736728686598
;2017-06-07 12:43;6;13;"#NJ Reps stand against elimination of @ChemSafetyBoard & call on @USRepRodney + @NitaLowey of Approps to stand w/us http:// bit.ly/2rBI57O pic.twitter.com/Isgkc0FaoH";;@ChemSafetyBoard @USRepRodney @NitaLowey;#NJ;"872509237880029185";https://twitter.com/DonaldNorcross/status/872509237880029185
;2017-06-07 09:30;1;6;"ICYMI: We're fighting to preserve Stafford Loans. #CollegeDebt #HigherEd @edworkforcedems http:// bit.ly/2rV0bSR";;@edworkforcedems;#CollegeDebt #HigherEd;"872460802757980161";https://twitter.com/DonaldNorcross/status/872460802757980161
;2017-06-06 10:20;1;4;"We'll always remember their bravery & sacrifices. #DDay #DDay73 https:// twitter.com/USArmy/status/ 872100829754519554 …";;;#DDay #DDay73;"872111000346136576";https://twitter.com/DonaldNorcross/status/872111000346136576
;2017-06-06 07:52;2;20;"NJ: Polls are open today. I just voted & encourage everyone to participate in our democracy. Make your voice heard! #VotingSelfie pic.twitter.com/tLCnLMaoSp";;;#VotingSelfie;"872073765554966529";https://twitter.com/DonaldNorcross/status/872073765554966529
;2017-06-05 17:29;6;23;"Glad companies housed in #SouthJersey are saying #wearestillin . #WorldEnvironmentDay #ParisClimateAccord https:// twitter.com/CampbellSoupCo /status/870681209222832129 …";;;#SouthJersey #wearestillin #WorldEnvironmentDay #ParisClimateAccord;"871856500360261632";https://twitter.com/DonaldNorcross/status/871856500360261632
;2017-06-05 13:53;1;2;"The graphic shows some of the Administration's proposed education cuts. Let me know your thoughts in my poll: https:// twitter.com/DonaldNorcross /status/871801594756648960 … pic.twitter.com/XO9tcpyfa8";;;;"871802184530370560";https://twitter.com/DonaldNorcross/status/871802184530370560
;2017-06-05 13:51;3;5;"Do you think we should be making the Administration's suggested education cuts? (The graphic in my next tweet shows the proposed #TrumpCuts )";;;#TrumpCuts;"871801594756648960";https://twitter.com/DonaldNorcross/status/871801594756648960
;2017-06-05 11:00;2;12;"I look forward to seeing my children & grandchildren visit this new waterfront park in Camden for years to come. #CamdenNJ #CamdenPride pic.twitter.com/cByg337UK9";;;#CamdenNJ #CamdenPride;"871758572828446720";https://twitter.com/DonaldNorcross/status/871758572828446720
;2017-06-05 10:04;0;2;"ICYMI: @CBSPhilly on our bipartisan, tri-state call for drug info sharing. #opioidcrisis @RepMeehan @RepBRochester http:// cbsloc.al/2qTM2WG";;@CBSPhilly @RepMeehan @RepBRochester;#opioidcrisis;"871744422773493760";https://twitter.com/DonaldNorcross/status/871744422773493760
;2017-06-02 13:19;6;5;"FREE College Financial Aid Workshop next Thursday in #CherryHill . Please stop by if we can help you! Starts @6:30pm #FinancialAid #HigherEd pic.twitter.com/kssPihwOGS";;@6;#CherryHill #FinancialAid #HigherEd;"870706515069419520";https://twitter.com/DonaldNorcross/status/870706515069419520
;2017-06-02 11:23;4;18;"As we #WearOrange , we're demanding action on #GunViolence Awareness Day! Photo=my District Office staff (thx for wearing the bright clothes) pic.twitter.com/ewSxB0vGaE";;;#WearOrange #GunViolence;"870677150923448320";https://twitter.com/DonaldNorcross/status/870677150923448320
;2017-06-02 11:08;15;38;"On #GunViolence Awareness Day, I #WearOrange & join with colleagues in saying ‘no reaction without taking action!’ http:// bit.ly/2rNbw8b pic.twitter.com/0EPuLethlG";;;#GunViolence #WearOrange;"870673452197457920";https://twitter.com/DonaldNorcross/status/870673452197457920
;2017-06-01 14:38;6;10;"#ParisClimateDeal #ActOnClimate pic.twitter.com/s9qyMSLqab";;;#ParisClimateDeal #ActOnClimate;"870363905264103430";https://twitter.com/DonaldNorcross/status/870363905264103430
;2017-06-01 14:37;12;27;"My statement on #ParisClimateDeal withdrawal: http:// bit.ly/2rvpA5k This prioritizes corporate polluters over our children & grandchildren pic.twitter.com/qBTQW91SNy";;;#ParisClimateDeal;"870363767632277504";https://twitter.com/DonaldNorcross/status/870363767632277504
;2017-06-01 11:45;5;34;"Proud to be a member of this caucus. Will proudly stand up for #equalrights at every turn. Shout-out to the #LGBTQ community in #NJ CD 1! https:// twitter.com/LGBTEqCaucus/s tatus/870293875507777536 …";;;#equalrights #LGBTQ #NJ;"870320296988987393";https://twitter.com/DonaldNorcross/status/870320296988987393
;2017-06-01 10:38;3;12;"#TBT to last week when we introduced the #RaiseTheWage Act. #FightFor15 pic.twitter.com/ciqpbUSiZA";;;#TBT #RaiseTheWage #FightFor15;"870303584847634432";https://twitter.com/DonaldNorcross/status/870303584847634432
;2017-06-01 08:32;0;3;"FED FUNDS: $2.4M for #SouthJersey health centers providing high-quality healthcare to families that need it most. http:// bit.ly/2rf4S9v";;;#SouthJersey;"870271763850121216";https://twitter.com/DonaldNorcross/status/870271763850121216
;2017-06-01 07:24;1;11;"I look forward to helping lead the discussion in Congress on the #opioidepidemic . https:// twitter.com/davidlevinsky/ status/869971861236457472 …";;;#opioidepidemic;"870254793197060096";https://twitter.com/DonaldNorcross/status/870254793197060096
;2017-05-31 15:11;2;9;"We're urging our Govs ( #NJ , #DE , #PA ) to expedite drug info sharing to help prevent #opioid abuse. Bipartisan letter: http:// bit.ly/2rlnZwW pic.twitter.com/Fj5u2CIfE5";;;#NJ #DE #PA #opioid;"870009801538973696";https://twitter.com/DonaldNorcross/status/870009801538973696
;2017-05-31 13:19;0;5;"FED FUNDS: $460K+ for #SouthJersey Fire Depts. Our firefighters certainly deserve equipment that keeps them safe. http:// bit.ly/2snlsS3";;;#SouthJersey;"869981576561610755";https://twitter.com/DonaldNorcross/status/869981576561610755
;2017-05-31 10:33;4;17;"Addiction is a disease—not a personal failure. Our Bipartisan Heroin Task Force works together to curb this epidemic http:// bit.ly/2roDGpg pic.twitter.com/OCe3HhZbuU";;;;"869939929312317441";https://twitter.com/DonaldNorcross/status/869939929312317441
;2017-05-31 09:54;0;9;"FED FUNDS: $750K for #Camden . There's a great revitalization happening! This $$ helps beautify areas in the city. http:// bit.ly/2qAFtZ3 pic.twitter.com/Hc2lKG91jq";;;#Camden;"869930132290629632";https://twitter.com/DonaldNorcross/status/869930132290629632
;2017-05-31 08:59;10;31;"For the sake of our national security, our economy, the health of Americans & our country’s future, I strongly urge the Admin to reconsider https:// twitter.com/politico/statu s/869891454126129154 …";;;;"869916324906102785";https://twitter.com/DonaldNorcross/status/869916324906102785
;2017-05-30 15:37;1;13;"Thanks @camdencountynj & @GloucesterCoNJ for hosting lovely Memorial Day events this weekend. Always important to remember our #fallenheroes pic.twitter.com/63BxdNGyh5";;@camdencountynj @GloucesterCoNJ;#fallenheroes;"869654055475232768";https://twitter.com/DonaldNorcross/status/869654055475232768
;2017-05-29 07:42;10;31;"We must always honor the brave men & women who gave their lives for our country. #MemorialDay #MDW #MDW2017 #ThankYou #FallenHeroes pic.twitter.com/gc0wRifzzF";;;#MemorialDay #MDW #MDW2017 #ThankYou #FallenHeroes;"869172095342739457";https://twitter.com/DonaldNorcross/status/869172095342739457
;2017-05-25 15:05;11;21;"No American who works full-time should live in poverty. Let's #RaiseTheWage ! #Fightfor15 pic.twitter.com/UIgy5FdiNW";;;#RaiseTheWage #Fightfor15;"867834061070323712";https://twitter.com/DonaldNorcross/status/867834061070323712
;2017-05-25 13:56;0;2;"Please be careful everyone https:// twitter.com/6abc/status/86 7749294605910017 …";;;;"867816765648023552";https://twitter.com/DonaldNorcross/status/867816765648023552
;2017-05-25 08:57;2;4;"ICYMI– @NJTRANSIT gets $10M for #PositiveTrainControl . ALL #NJ Reps work together to prevent derailments & save lives http:// bit.ly/2qjFJaz";;@NJTRANSIT;#PositiveTrainControl #NJ;"867741417380204546";https://twitter.com/DonaldNorcross/status/867741417380204546
;2017-05-24 17:33;14;12;"Trump & Ryan: No one will lose coverage, no one will be denied coverage bc of pre-existing conditions, people will pay less. @USCBO : False pic.twitter.com/Zfm2Ec0RdR";;@USCBO;;"867508841327493120";https://twitter.com/DonaldNorcross/status/867508841327493120
;2017-05-24 15:46;5;3;"CBO score proves what we already knew: #TrumpCare is still a tax break for the very wealthy disguised as ‘care’ for American families. https:// twitter.com/USCBOcostest/s tatus/867478434590732288 …";;;#TrumpCare;"867481912364945408";https://twitter.com/DonaldNorcross/status/867481912364945408
;2017-05-23 13:11;6;4;"#TrumpBudget = Bad for NJ HEADLINE:"Trump's budget slams #NJ more than most states on Medicaid" @njdotcom #TrumpCuts http:// bit.ly/2qS7wSy";;@njdotcom;#TrumpBudget #NJ #TrumpCuts;"867080647512293376";https://twitter.com/DonaldNorcross/status/867080647512293376
;2017-05-23 11:00;3;7;"#TrumpBudget won’t grow wages, doesn’t invest in infrastructure or ed & hurts low-income Americans. 5/5 #TrumpCuts http:// bit.ly/2rMy6uA";;;#TrumpBudget #TrumpCuts;"867047600905748480";https://twitter.com/DonaldNorcross/status/867047600905748480
;2017-05-23 11:00;1;2;"There's an ongoing #opioidepidemic , but #TrumpBudget cuts $$ for agencies fighting addiction. 4/5 #TrumpCuts http:// bit.ly/2rMy6uA";;;#opioidepidemic #TrumpBudget #TrumpCuts;"867047543859032066";https://twitter.com/DonaldNorcross/status/867047543859032066
;2017-05-23 11:00;1;3;"Seniors=biggest losers w/ #TrumpBudget . Slashing needed prgms=NOT how we treat the Greatest Generation 3/5 #TrumpCuts http:// bit.ly/2rMy6uA";;;#TrumpBudget #TrumpCuts;"867047485512065026";https://twitter.com/DonaldNorcross/status/867047485512065026
;2017-05-23 10:59;1;2;"#TrumpBudget : Our SJ public schools, superfund sites, small businesses & universities receive less. 2/5 #TrumpCuts http:// bit.ly/2rMy6uA";;;#TrumpBudget #TrumpCuts;"867047439001432064";https://twitter.com/DonaldNorcross/status/867047439001432064
;2017-05-23 10:59;2;4;"#TrumpBudget exposes true priorities—helps billionaires instead of hard-working American families. 1/5 #TrumpCuts http:// bit.ly/2rMy6uA";;;#TrumpBudget #TrumpCuts;"867047372794339328";https://twitter.com/DonaldNorcross/status/867047372794339328
;2017-05-22 19:01;4;18;"Terrible news developing. My thoughts & prayers are with the victims & their families. https:// twitter.com/cnn/status/866 800603820896256 …";;;;"866806320753774592";https://twitter.com/DonaldNorcross/status/866806320753774592
;2017-05-22 16:25;5;5;"Congrats Hannah Jin of Cherry Hill Township on winning the 2017 #CongressionalArtCompetition for NJ-01! http:// bit.ly/2qOrVbn pic.twitter.com/dCmH8VnNa9";;;#CongressionalArtCompetition;"866767081496334336";https://twitter.com/DonaldNorcross/status/866767081496334336
;2017-05-22 13:06;6;4;"During #FosterCareMonth , it's a great time to see what local & statewide programs are up to, like @OneSimpleWish w/ #CNNHero @DGletow .";;@OneSimpleWish @DGletow;#FosterCareMonth #CNNHero;"866716794001793024";https://twitter.com/DonaldNorcross/status/866716794001793024
;2017-05-22 13:01;6;4;"ICYMI bipartisan, industry & labor #infrastructure op-ed on our #energyfuture : http:// bit.ly/2ruc5Dp @Edison_Electric @IBEW @RepMcKinley";;@Edison_Electric @IBEW @RepMcKinley;#infrastructure #energyfuture;"866715709409198084";https://twitter.com/DonaldNorcross/status/866715709409198084
;2017-05-22 07:21;3;6;"On "Trump's turbulent 2 wks" in @PhillyInquirer —My take:There's people who stayed on the Titanic until it went down http:// bit.ly/2q9aKOn";;@PhillyInquirer;;"866629983904641024";https://twitter.com/DonaldNorcross/status/866629983904641024
;2017-05-19 12:07;3;16;"After briefing, I feel even more strongly we need an #IndependentInvestigation on Russia’s influence on our election http:// bit.ly/2qBPmEH";;;#IndependentInvestigation;"865614953759354886";https://twitter.com/DonaldNorcross/status/865614953759354886
;2017-05-18 13:31;1;1;"Any trade deal must benefit American workers & it’s clear they've been the losers w/ #NAFTA . I want that to change http:// bit.ly/2qWwrFm pic.twitter.com/cqqruZdQlQ";;;#NAFTA;"865273540442025984";https://twitter.com/DonaldNorcross/status/865273540442025984
;2017-05-17 19:10;3;6;"WATCH LIVE: http:// houselive.gov The @BlueCollarDems take the Floor for #InfrastructureWeek . A D+ is an unacceptable grade! #TimeToBuild";;@BlueCollarDems;#InfrastructureWeek #TimeToBuild;"864996690205528064";https://twitter.com/DonaldNorcross/status/864996690205528064
;2017-05-17 17:43;6;19;"Encouraged by this appointment. Seems like they're finally moving in the right direction. #TrumpRussiaInvestigation #CautiousOptimism https:// twitter.com/CNN/status/864 969236506185728 …";;;#TrumpRussiaInvestigation #CautiousOptimism;"864974653563043844";https://twitter.com/DonaldNorcross/status/864974653563043844
;2017-05-17 15:55;4;6;"It's #TimeToBuild ! It will cost our county more $$ to keep waiting. #InfrastructureWeek @RepMcKinley @necanet @CEABuilds pic.twitter.com/Cs9ZndSVBj";;@RepMcKinley @necanet @CEABuilds;#TimeToBuild #InfrastructureWeek;"864947478566776834";https://twitter.com/DonaldNorcross/status/864947478566776834
;2017-05-17 12:03;5;24;"Signed it! #RussiaTrump #TrumpRussia #TrumpRussiaInvestigation https:// twitter.com/suzanneec/stat us/864887024138031104 …";;;#RussiaTrump #TrumpRussia #TrumpRussiaInvestigation;"864889185165094912";https://twitter.com/DonaldNorcross/status/864889185165094912
;2017-05-17 12:01;1;3;"Technical training shaped my life & I’m glad CTE bill passed Cmte that allows more students to learn more options http:// bit.ly/2rrc2o9 pic.twitter.com/27DT7Sdbwi";;;;"864888730502430722";https://twitter.com/DonaldNorcross/status/864888730502430722
;2017-05-17 09:32;1;2;"WATCH LIVE: Speaking on my support for our Career & Tech Ed bill: http:// bit.ly/2qrO3aU @edworkforcedems";;@edworkforcedems;;"864851124574191617";https://twitter.com/DonaldNorcross/status/864851124574191617
;2017-05-16 16:04;1;1;"Thanks for stopping by & telling your stories. https:// twitter.com/alsassociation /status/864583534509514757 …";;;;"864587423459799041";https://twitter.com/DonaldNorcross/status/864587423459799041
;2017-05-16 15:43;0;1;"#ThrowbackTuesday in honor of #WomensHealthWeek https:// twitter.com/DonaldNorcross /status/862708878366171136 …";;;#ThrowbackTuesday #WomensHealthWeek;"864582156416425986";https://twitter.com/DonaldNorcross/status/864582156416425986
;2017-05-16 14:09;0;7;"#HigherEd must be accessible & affordable! Let's strengthen #PellGrants & improve student loans & loan repayments. #AimHigher";;;#HigherEd #PellGrants #AimHigher;"864558354462638080";https://twitter.com/DonaldNorcross/status/864558354462638080
;2017-05-16 14:06;0;2;". @HouseDemocrats & @edworkforcedems launched #AimHigher , a campaign w/bold policy solutions to make #highered work for all students. pic.twitter.com/ym3y1PHcKv";;@HouseDemocrats @edworkforcedems;#AimHigher #highered;"864557572753436676";https://twitter.com/DonaldNorcross/status/864557572753436676
;2017-05-16 09:11;0;1;"Agree #TrumpRussia =BIG concern.Calling for indep investigation since Jan: http:// bit.ly/2piaVuo Shame tho we're not talking #infrastructure";;;#TrumpRussia #infrastructure;"864483442872004609";https://twitter.com/DonaldNorcross/status/864483442872004609
;2017-05-16 08:48;2;7;"Another Pres scandal when we s/b focusing on #InfrastructureWeek . We're facing a $2T 10yr infrastructure deficit! ( @ASCETweets ) #TimeToBuild";;@ASCETweets;#InfrastructureWeek #TimeToBuild;"864477655181262848";https://twitter.com/DonaldNorcross/status/864477655181262848
;2017-05-15 17:24;5;10;"Developing...... https:// twitter.com/washingtonpost /status/864225254872412164 …";;;;"864245236901588993";https://twitter.com/DonaldNorcross/status/864245236901588993
;2017-05-15 15:38;2;7;"Thanks @FrankPallone for joining me in #SouthJersey ! We spoke w/ #CamdencCity residents who were recently trained & now working @holtecintl pic.twitter.com/JwXlH9e19i";;@FrankPallone @holtecintl;#SouthJersey #CamdencCity;"864218330756001792";https://twitter.com/DonaldNorcross/status/864218330756001792
;2017-05-15 15:27;0;3;"#InfrastructureWeek @PHLAirport tour showed us where investments are needed. #TimeToBuild http:// 6abc.cm/2r9x8uS - @KScott6abc";;@PHLAirport @KScott6abc;#InfrastructureWeek #TimeToBuild;"864215779855798273";https://twitter.com/DonaldNorcross/status/864215779855798273
;2017-05-15 11:31;4;7;"It's National #PoliceWeek2017 . Join me in thanking our officers. pic.twitter.com/nzqb1B9QXs";;;#PoliceWeek2017;"864156203085168640";https://twitter.com/DonaldNorcross/status/864156203085168640
;2017-05-15 11:14;3;6;"US aviation grade=D ( @ASCEtweets ) Yikes! It's #TimeToBuild ! Toured Philly airport & talked infrastructure investments. #infrastructureweek pic.twitter.com/ZNyQ2BmHbq";;@ASCEtweets;#TimeToBuild #infrastructureweek;"864152086438662144";https://twitter.com/DonaldNorcross/status/864152086438662144
;2017-05-15 08:17;13;25;"U.S. airports generate over $1.1 trillion & support over 9.6 million jobs. Heading to @PHLAirport for #InfrastructureWeek . It's #TimeToBuild pic.twitter.com/jMbQLu7MUY";;@PHLAirport;#InfrastructureWeek #TimeToBuild;"864107398419673088";https://twitter.com/DonaldNorcross/status/864107398419673088
;2017-05-14 18:18;3;5;"Powerful story & effort. No one should be in jail just bc they're poor, especially moms. #MothersDay2017 #MothersDayEveryDay https:// twitter.com/KatieColaneri/ status/863125693416308736 …";;;#MothersDay2017 #MothersDayEveryDay;"863896232133046276";https://twitter.com/DonaldNorcross/status/863896232133046276
;2017-05-14 07:43;0;22;"#HappyMothersDay This picture of my mom is stunning. Thinking about her & missing her this Mother's Day. pic.twitter.com/DcUbjDD3S2";;;#HappyMothersDay;"863736515914072064";https://twitter.com/DonaldNorcross/status/863736515914072064
;2017-05-13 18:48;8;14;"Addiction is a disease, just like many other medical conditions & @KennedyHealth is finding new ways to combat the #opioid epidemic. https:// twitter.com/amahoover/stat us/863374159514136576 …";;@KennedyHealth;#opioid;"863541506518515714";https://twitter.com/DonaldNorcross/status/863541506518515714
;2017-05-12 16:13;3;7;"I have a bag ready for #StampOutHunger ! 1:6 Americans face hunger & I'm glad @UFCW & @NALC_National teamed up to collect food. pic.twitter.com/6Ir0FAAJcQ";;@UFCW @NALC_National;#StampOutHunger;"863140028628840452";https://twitter.com/DonaldNorcross/status/863140028628840452
;2017-05-12 12:31;4;9;"Learned about @KennedyHealth 's cutting-edge #opioid addition reduction prgm in SJ during a mtg & tour. Let's fight this epidemic together! pic.twitter.com/tmDrk0YQEU";;@KennedyHealth;#opioid;"863084261477371906";https://twitter.com/DonaldNorcross/status/863084261477371906
;2017-05-12 10:18;3;8;"Still getting many calls about #TrumpCare . If you want to hear my take on provisions in the House bill, watch my @BurlCoTimes discussion. https:// twitter.com/BurlcoTimes/st atus/863046109983367175 …";;@BurlCoTimes;#TrumpCare;"863050845604253699";https://twitter.com/DonaldNorcross/status/863050845604253699
;2017-05-12 10:01;99;155;"Wow. Thoughts on if/when this gets deleted? #FlashbackFriday H/T @RepDonaldPayne @BraddJaffy @SZilberstein #TrumpRussia #ComeyGate https:// twitter.com/SarahHuckabee/ status/794255968448020480 …";;@RepDonaldPayne @BraddJaffy @SZilberstein;#FlashbackFriday #TrumpRussia #ComeyGate;"863046476435468288";https://twitter.com/DonaldNorcross/status/863046476435468288
;2017-05-12 08:03;0;0;"And thank you for your support. By the way, I'm holding a Town Hall at Timber Creek High School Monday at 6:30pm. Do come by if you can.";;;;"863016697715986434";https://twitter.com/DonaldNorcross/status/863016697715986434
;2017-05-12 07:42;3;19;"ICYMI - #IStandWithPP We should be working to prevent sexual assaults, not demonizing & scrapping services for those who've been assaulted. https:// twitter.com/CBSPhilly/stat us/862832195848818688 …";;;#IStandWithPP;"863011525480632320";https://twitter.com/DonaldNorcross/status/863011525480632320
;2017-05-11 14:05;6;23;"Truth https:// twitter.com/DanaRedd/statu s/862745308786241537 …";;;;"862745563422498818";https://twitter.com/DonaldNorcross/status/862745563422498818
;2017-05-11 11:59;0;7;"We must stop budget-cut hungry Republicans from taking critical health services away from millions. #IStandWithPP http:// bit.ly/2q9djkk";;;#IStandWithPP;"862713843339980800";https://twitter.com/DonaldNorcross/status/862713843339980800
;2017-05-11 11:39;4;25;"I’m proud to stand WITH women, with Planned Parenthood, fighting for critical health services. #IStandWithPP pic.twitter.com/B7BV9GLB1w";;;#IStandWithPP;"862708878366171136";https://twitter.com/DonaldNorcross/status/862708878366171136
;2017-05-11 11:36;1;9;"#BreastCancer tore a hole in my family-Kristi She relies on @PPFA like millions of Americans. Preventative services save lives #IStandWithPP pic.twitter.com/fVHsjZc6w7";;@PPFA;#BreastCancer #IStandWithPP;"862708037118816257";https://twitter.com/DonaldNorcross/status/862708037118816257
;2017-05-11 11:27;8;23;"There's a war on women's health & we must win the war! #IStandWithPP pic.twitter.com/go5vBSuQB2";;;#IStandWithPP;"862705821318340612";https://twitter.com/DonaldNorcross/status/862705821318340612
;2017-05-11 08:09;7;27;"THIS MORNING: Will be w/ @PPActionNJ in Camden. Let's fight to protect & improve women’s health programs, not eliminate them. #IStandWithPP";;@PPActionNJ;#IStandWithPP;"862655946325204992";https://twitter.com/DonaldNorcross/status/862655946325204992
;2017-05-10 17:43;4;8;"#Camden job alert: #Ribboncutting at @lockheedmartin 's Advanced Product Development Center. pic.twitter.com/PqAqlxBS4t";;@lockheedmartin;#Camden #Ribboncutting;"862437886225985536";https://twitter.com/DonaldNorcross/status/862437886225985536
;2017-05-10 11:02;7;34;"Of course! Been calling for an independent investigation for months, will continue to do so. #TrumpRussiaInvestigation #ComeyGate https:// twitter.com/TomWellborn/st atus/862321432499539968 …";;;#TrumpRussiaInvestigation #ComeyGate;"862337165568745472";https://twitter.com/DonaldNorcross/status/862337165568745472
;2017-05-10 10:50;4;5;"Check out the exec paywatch. 347 times! Outrageous. In Congress, we need policies that help hard-working American families. https:// twitter.com/AFLCIO/status/ 861951508484689920 …";;;;"862334007106732032";https://twitter.com/DonaldNorcross/status/862334007106732032
;2017-05-09 21:31;28;64;"I bet every defendant would love to fire their prosecutor. #PresidentialPrivilege #Russiagate #Trumpgate #Comeygate #SoManyGates";;;#PresidentialPrivilege #Russiagate #Trumpgate #Comeygate #SoManyGates;"862132905451151360";https://twitter.com/DonaldNorcross/status/862132905451151360
;2017-05-09 19:05;5;11;"#ThrowbackTuesday calling for full Russia investigation. http:// bit.ly/2piaVuo Related observation: #BananaRepublic is trending on Twitter";;;#ThrowbackTuesday #BananaRepublic;"862096105391181825";https://twitter.com/DonaldNorcross/status/862096105391181825
;2017-05-09 19:00;2;7;"Just when the gmen are off the case, bring the perp in... As an @Eagles fan, hard to root for the gmen https:// twitter.com/ap/status/8620 84542303219715 …";;@Eagles;;"862094886144704514";https://twitter.com/DonaldNorcross/status/862094886144704514
;2017-05-09 18:56;13;21;"Tomorrow? Seriously? https:// twitter.com/ap/status/8620 84542303219715 …";;;;"862093844430692352";https://twitter.com/DonaldNorcross/status/862093844430692352
;2017-05-09 17:50;5;15;""It was not immediately clear exactly why Comey was ousted" ... seems pretty clear to me. #Russia #RussiaTrump #Russigate https:// twitter.com/politico/statu s/862061125919281152 …";;;#Russia #RussiaTrump #Russigate;"862077293992259588";https://twitter.com/DonaldNorcross/status/862077293992259588
;2017-05-09 17:49;87;160;"It's the Saturday Night Massacre redux. (President firing the head of the agency investigating him.) #TrumpRussia #TrumpNixon #Russiagate";;;#TrumpRussia #TrumpNixon #Russiagate;"862077106339143681";https://twitter.com/DonaldNorcross/status/862077106339143681
